	identifier	file	clip	clip_soft	scale	sum_stat	strand_pair	description	assay	source	group
0	CNhs10608+	path/to/data/coverage+.w5	768	384	1.0	sum	1	CAGE:Clontech Human Universal Reference Total RNA, pool1	cage	fantom	fantom
1	CNhs10608-	path/to/data/coverage-.w5	768	384	1.0	sum	0	CAGE:Clontech Human Universal Reference Total RNA, pool1	cage	fantom	fantom
2	CNhs10610+	path/to/data/coverage+.w5	768	384	1.0	sum	3	CAGE:SABiosciences XpressRef Human Universal Total RNA, pool1	cage	fantom	fantom
3	CNhs10610-	path/to/data/coverage-.w5	768	384	1.0	sum	2	CAGE:SABiosciences XpressRef Human Universal Total RNA, pool1	cage	fantom	fantom
4	CNhs10612+	path/to/data/coverage+.w5	768	384	1.0	sum	5	CAGE:Universal RNA - Human Normal Tissues Biochain, pool1	cage	fantom	fantom
5	CNhs10612-	path/to/data/coverage-.w5	768	384	1.0	sum	4	CAGE:Universal RNA - Human Normal Tissues Biochain, pool1	cage	fantom	fantom
6	CNhs10615+	path/to/data/coverage+.w5	768	384	1.0	sum	7	CAGE:adipose tissue, adult, pool1	cage	fantom	fantom
7	CNhs10615-	path/to/data/coverage-.w5	768	384	1.0	sum	6	CAGE:adipose tissue, adult, pool1	cage	fantom	fantom
8	CNhs10616+	path/to/data/coverage+.w5	768	384	1.0	sum	9	CAGE:bladder, adult, pool1	cage	fantom	fantom
9	CNhs10616-	path/to/data/coverage-.w5	768	384	1.0	sum	8	CAGE:bladder, adult, pool1	cage	fantom	fantom
10	CNhs10617+	path/to/data/coverage+.w5	768	384	1.0	sum	11	CAGE:brain, adult, pool1	cage	fantom	fantom
11	CNhs10617-	path/to/data/coverage-.w5	768	384	1.0	sum	10	CAGE:brain, adult, pool1	cage	fantom	fantom
12	CNhs10618+	path/to/data/coverage+.w5	768	384	1.0	sum	13	CAGE:cervix, adult, pool1	cage	fantom	fantom
