	identifier	file	clip	clip_soft	scale	sum_stat	strand_pair	description	assay	source	group	strand
0	CNhs10608+	path/to/data/coverage+.w5	768	384	1.0	sum	1	CAGE:Clontech Human Universal Reference Total RNA, pool1	cage	fantom	fantom	+
2	CNhs10610+	path/to/data/coverage+.w5	768	384	1.0	sum	3	CAGE:SABiosciences XpressRef Human Universal Total RNA, pool1	cage	fantom	fantom	+
4	CNhs10612+	path/to/data/coverage+.w5	768	384	1.0	sum	5	CAGE:Universal RNA - Human Normal Tissues Biochain, pool1	cage	fantom	fantom	+
6	CNhs10615+	path/to/data/coverage+.w5	768	384	1.0	sum	7	CAGE:adipose tissue, adult, pool1	cage	fantom	fantom	+
8	CNhs10616+	path/to/data/coverage+.w5	768	384	1.0	sum	9	CAGE:bladder, adult, pool1	cage	fantom	fantom	+
10	CNhs10617+	path/to/data/coverage+.w5	768	384	1.0	sum	11	CAGE:brain, adult, pool1	cage	fantom	fantom	+
12	CNhs10618+	path/to/data/coverage+.w5	768	384	1.0	sum	13	CAGE:cervix, adult, pool1	cage	fantom	fantom	+
14	CNhs10619+	path/to/data/coverage+.w5	768	384	1.0	sum	15	CAGE:colon, adult, pool1	cage	fantom	fantom	+
16	CNhs10620+	path/to/data/coverage+.w5	768	384	1.0	sum	17	CAGE:esophagus, adult, pool1	cage	fantom	fantom	+
18	CNhs10621+	path/to/data/coverage+.w5	768	384	1.0	sum	19	CAGE:heart, adult, pool1	cage	fantom	fantom	+
20	CNhs10622+	path/to/data/coverage+.w5	768	384	1.0	sum	21	CAGE:kidney, adult, pool1	cage	fantom	fantom	+
22	CNhs10624+	path/to/data/coverage+.w5	768	384	1.0	sum	23	CAGE:liver, adult, pool1	cage	fantom	fantom	+
24	CNhs10625+	path/to/data/coverage+.w5	768	384	1.0	sum	25	CAGE:lung, adult, pool1	cage	fantom	fantom	+
26	CNhs10626+	path/to/data/coverage+.w5	768	384	1.0	sum	27	CAGE:ovary, adult, pool1	cage	fantom	fantom	+
28	CNhs10627+	path/to/data/coverage+.w5	768	384	1.0	sum	29	CAGE:placenta, adult, pool1	cage	fantom	fantom	+
30	CNhs10628+	path/to/data/coverage+.w5	768	384	1.0	sum	31	CAGE:prostate, adult, pool1	cage	fantom	fantom	+
32	CNhs10629+	path/to/data/coverage+.w5	768	384	1.0	sum	33	CAGE:skeletal muscle, adult, pool1	cage	fantom	fantom	+
34	CNhs10630+	path/to/data/coverage+.w5	768	384	1.0	sum	35	CAGE:small intestine, adult, pool1	cage	fantom	fantom	+
36	CNhs10631+	path/to/data/coverage+.w5	768	384	1.0	sum	37	CAGE:spleen, adult, pool1	cage	fantom	fantom	+
38	CNhs10632+	path/to/data/coverage+.w5	768	384	1.0	sum	39	CAGE:testis, adult, pool1	cage	fantom	fantom	+
40	CNhs10633+	path/to/data/coverage+.w5	768	384	1.0	sum	41	CAGE:thymus, adult, pool1	cage	fantom	fantom	+
42	CNhs10634+	path/to/data/coverage+.w5	768	384	1.0	sum	43	CAGE:thyroid, adult, pool1	cage	fantom	fantom	+
44	CNhs10635+	path/to/data/coverage+.w5	768	384	1.0	sum	45	CAGE:trachea, adult, pool1	cage	fantom	fantom	+
46	CNhs10636+	path/to/data/coverage+.w5	768	384	1.0	sum	47	CAGE:retina, adult, pool1	cage	fantom	fantom	+
48	CNhs10637+	path/to/data/coverage+.w5	768	384	1.0	sum	49	CAGE:temporal lobe, adult, pool1	cage	fantom	fantom	+
50	CNhs10638+	path/to/data/coverage+.w5	768	384	1.0	sum	51	CAGE:postcentral gyrus, adult, pool1	cage	fantom	fantom	+
52	CNhs10640+	path/to/data/coverage+.w5	768	384	1.0	sum	53	CAGE:pons, adult, pool1	cage	fantom	fantom	+
